date,close,high,low,open,day_name,market_move,direction,pattern,candle_color,abs_directional_move,abs_directional_move_pct,move_category,prev_2_day_seq,prev_3_day_seq,prev_4_day_seq,prev_5_day_seq,abs_day_move,pct_abs_day_move,day_move_category,pct_move_3d,pct_move_5d,flag_close_range,flag_above_5EMA,flag_above_8EMA,flag_above_13EMA,flag_above_50EMA,flag_above_100EMA,flag_above_200EMA,opening_category,3m_high,3m_low,pts_from_3m_high,pts_from_3m_low,pct_from_3m_high,pct_from_3m_low,pct_away_from_all_time_high,flag_all_time_high,next_close,next_move_category,next_abs_directional_move_pct,next_direction,next_candle_color,next_pattern,next_opening_category,target,flag_prev_at_all_time_high,inside_1_day,inside_for_consec_2_days,inside_for_consec_3_days,inside_for_consec_4_days,inside_for_consec_5_days,inside_for_consec_6_days,inside_for_consec_7_days
2007-09-17,4494.64990234375,4549.0498046875,4482.85009765625,4518.4501953125,Monday,,Up,Bearish,Red,23.80029296875,0.5267357598284638,Moderate,,,,,66.19970703125,1.4650976367942807,High,,,0,0,0,0,0,0,0,N/A,4549.0498046875,4482.85009765625,54.39990234375,11.7998046875,1.1958519840273991,0.26322104086570375,0.0,1,4546.2001953125,High,1.1592998937300283,Up,Green,Bullish,Flat,1,0,0,0,0,0,0,0,0
2007-09-18,4546.2001953125,4551.7998046875,4481.5498046875,4494.10009765625,Tuesday,51.55029296875,Up,Bullish,Green,52.10009765625,1.1592998937300283,High,Moderate,Moderate,Moderate,Moderate,70.25,1.5631605543596276,Exceptional,,,0,1,1,1,1,1,1,Flat,4551.7998046875,4481.5498046875,5.599609375,64.650390625,0.12301967606821047,1.4425900289533455,0.0,1,4732.35009765625,Exceptional,4.0019800594747545,Up,Green,Bullish Marubozu,Flat,1,1,1,0,0,0,0,0,0
2007-09-19,4732.35009765625,4739.0,4550.25,4550.25,Wednesday,186.14990234375,Up,Bullish Marubozu,Green,182.10009765625,4.0019800594747545,Exceptional,High Moderate,High Moderate,High Moderate,High Moderate,188.75,4.148123729465414,Exceptional,,,0,1,1,1,1,1,1,Flat,4739.0,4481.5498046875,6.64990234375,250.80029296875,0.14032290237919393,5.596284854547955,0.0,1,4747.5498046875,Low,0.26821772113833875,Up,Green,Bullish,Flat,0,1,0,0,0,0,0,0,0
2007-09-20,4747.5498046875,4760.85009765625,4721.14990234375,4734.85009765625,Thursday,15.19970703125,Up,Bullish,Green,12.69970703125,0.26821772113833875,Low,Exceptional High,Exceptional High Moderate,Exceptional High Moderate,Exceptional High Moderate,39.7001953125,0.8384678393968922,Moderate,5.6266874581683,,0,1,1,1,1,1,1,Flat,4760.85009765625,4481.5498046875,13.30029296875,266.0,0.279368026632422,5.935446700196792,0.0,1,4837.5498046875,Exceptional,1.7799388989692053,Up,Green,Bullish,Flat,1,1,0,0,0,0,0,0,0
2007-09-21,4837.5498046875,4855.7001953125,4733.7001953125,4752.9501953125,Friday,90.0,Up,Bullish,Green,84.599609375,1.7799388989692053,Exceptional,Low Exceptional,Low Exceptional High,Low Exceptional High Moderate,Low Exceptional High Moderate,122.0,2.5668268125409774,Exceptional,6.408640113900055,,0,1,1,1,1,1,1,Flat,4855.7001953125,4481.5498046875,18.150390625,356.0,0.3737955370992976,7.9436805461280375,0.0,1,4932.2001953125,Exceptional,1.9650061479941976,Up,Green,Bullish,Flat,1,1,0,0,0,0,0,0,0
2007-09-24,4932.2001953125,4941.14990234375,4837.14990234375,4837.14990234375,Monday,94.650390625,Up,Bullish,Green,95.05029296875,1.9650061479941976,Exceptional,Exceptional Low,Exceptional Low Exceptional,Exceptional Low Exceptional High,Exceptional Low Exceptional High Moderate,104.0,2.1500264019026734,Exceptional,4.223062400967081,9.734913785845434,0,1,1,1,1,1,1,Flat,4941.14990234375,4481.5498046875,8.94970703125,450.650390625,0.18112599714906158,10.055681857058465,0.0,1,4938.85009765625,Low,0.005061650807980839,Up,Gray,Doji,Flat,0,1,0,0,0,0,0,0,0
2007-09-25,4938.85009765625,4953.89990234375,4878.14990234375,4939.10009765625,Tuesday,6.64990234375,Up,Doji,Gray,0.25,0.005061650807980839,Low,Exceptional Exceptional,Exceptional Exceptional Low,Exceptional Exceptional Low Exceptional,Exceptional Exceptional Low Exceptional High,75.75,1.5336801948181944,Exceptional,4.029453103996294,8.636881031957277,0,1,1,1,1,1,1,Flat,4953.89990234375,4481.5498046875,15.0498046875,457.30029296875,0.30379710902878265,10.2040658454902,0.0,1,4940.5,Low,0.05873100871669433,Up,Gray,Doji,Flat,0,1,0,0,0,0,0,0,0
2007-09-26,4940.5,4980.85009765625,4930.35009765625,4937.60009765625,Wednesday,1.64990234375,Up,Doji,Gray,2.89990234375,0.05873100871669433,Low,Low Exceptional,Low Exceptional Exceptional,Low Exceptional Exceptional Low,Low Exceptional Exceptional Low Exceptional,50.5,1.0227640756887346,High,2.128147501711375,4.398446819199586,0,1,1,1,1,1,1,Flat,4980.85009765625,4481.5498046875,40.35009765625,458.9501953125,0.8101046380664383,10.240881286925758,0.0,1,5000.5498046875,High,1.1704049828849166,Up,Green,Bullish,Flat,1,1,0,0,0,0,0,0,0
2007-09-27,5000.5498046875,5016.39990234375,4942.7001953125,4942.7001953125,Thursday,60.0498046875,Up,Bullish,Green,57.849609375,1.1704049828849166,High,Low Low,Low Low Exceptional,Low Low Exceptional Exceptional,Low Low Exceptional Exceptional Low,73.69970703125,1.4910818807328121,High,1.3857833556707222,5.3290646840650435,0,1,1,1,1,1,1,Flat,5016.39990234375,4481.5498046875,15.85009765625,519.0,0.3159655921539381,11.580815178203515,0.0,1,5021.35009765625,Low,0.49835185722676156,Up,Green,Bullish,Flat,0,1,0,0,0,0,0,0,0
2007-09-28,5021.35009765625,5055.7998046875,4996.4501953125,4996.4501953125,Friday,20.80029296875,Up,Bullish,Green,24.89990234375,0.49835185722676156,Low,High Low,High Low Low,High Low Low Exceptional,High Low Low Exceptional Exceptional,59.349609375,1.1878355043082345,High,1.6704293179327534,3.799450142934968,0,1,1,1,1,1,1,Flat,5055.7998046875,4481.5498046875,34.44970703125,539.80029296875,0.6813898564438776,12.044946870927175,0.0,1,5068.9501953125,Moderate,0.9449406614059543,Up,Green,Bullish,Flat,0,1,0,0,0,0,0,0,0
2007-10-01,5068.9501953125,5089.2998046875,5001.35009765625,5021.5,Monday,47.60009765625,Up,Bullish,Green,47.4501953125,0.9449406614059543,Moderate,Low High,Low High Low,Low High Low Low,Low High Low Low Exceptional,87.94970703125,1.7514628503684158,Exceptional,2.5999432306952786,2.7725962974894047,0,1,1,1,1,1,1,Flat,5089.2998046875,4481.5498046875,20.349609375,587.400390625,0.3998508666409668,13.107081617403995,0.0,1,5210.7998046875,Exceptional,2.7973920830045373,Up,Green,Bullish,Flat,1,1,0,0,0,0,0,0,0
2007-10-03,5210.7998046875,5261.35009765625,5034.14990234375,5069.0,Wednesday,141.849609375,Up,Bullish,Green,141.7998046875,2.7973920830045373,Exceptional,Moderate Low,Moderate Low High,Moderate Low High Low,Moderate Low High Low Low,227.2001953125,4.482150233034129,Exceptional,4.204537665096586,5.506336528826927,0,1,1,1,1,1,1,Flat,5261.35009765625,4481.5498046875,50.55029296875,729.25,0.9607855784253629,16.272272579392897,0.0,1,5208.64990234375,Low,0.057563344741381396,Down,Gray,Doji,Flat,0,1,0,0,0,0,0,0,0
