day,net,hold,date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,exit_reason
2023-10-26 00:00:00+05:30,23.25,1,2023-10-26,long,2023-10-26 09:15:00,2023-10-27 15:25:00,19027.25,19060.5,,,23.25,first-up-close
2024-01-04 00:00:00+05:30,53.79999999999927,0,2024-01-04,long,2024-01-04 09:15:00,2024-01-04 15:25:00,21605.8,21669.6,,,53.8,first-up-close
2024-01-24 00:00:00+05:30,265.4500000000007,0,2024-01-24,long,2024-01-24 09:15:00,2024-01-24 15:25:00,21185.25,21460.7,,,265.45,first-up-close
2024-03-14 00:00:00+05:30,160.5,0,2024-03-14,long,2024-03-14 09:15:00,2024-03-14 15:25:00,21982.55,22153.05,,,160.5,first-up-close
2024-04-16 00:00:00+05:30,14.400000000001455,2,2024-04-16,long,2024-04-16 09:15:00,2024-04-19 15:25:00,22125.3,22149.7,,,14.4,first-up-close
2024-05-08 00:00:00+05:30,65.54999999999927,0,2024-05-08,long,2024-05-08 09:15:00,2024-05-08 15:25:00,22231.2,22306.75,,,65.55,first-up-close
2024-05-10 00:00:00+05:30,53.04999999999927,0,2024-05-10,long,2024-05-10 09:15:00,2024-05-10 15:25:00,21990.95,22054.0,,,53.05,first-up-close
2024-05-31 00:00:00+05:30,727.8500000000022,1,2024-05-31,long,2024-05-31 09:15:00,2024-06-03 15:25:00,22568.1,23305.95,,,727.85,first-up-close
2024-07-26 00:00:00+05:30,418.40000000000146,0,2024-07-26,long,2024-07-26 09:15:00,2024-07-26 15:25:00,24423.35,24851.75,,,418.4,first-up-close
2024-08-06 00:00:00+05:30,115.40000000000146,1,2024-08-06,long,2024-08-06 09:15:00,2024-08-07 15:25:00,24189.85,24315.25,,,115.4,first-up-close
2024-09-09 00:00:00+05:30,108.84999999999854,0,2024-09-09,long,2024-09-09 09:15:00,2024-09-09 15:25:00,24823.4,24942.25,,,108.85,first-up-close
2024-10-04 00:00:00+05:30,-152.40000000000146,2,2024-10-04,long,2024-10-04 09:15:00,2024-10-08 15:25:00,25181.9,25039.5,,,-152.4,first-up-close
2024-10-18 00:00:00+05:30,187.70000000000073,0,2024-10-18,long,2024-10-18 09:15:00,2024-10-18 15:25:00,24664.95,24862.65,,,187.7,first-up-close
2024-10-23 00:00:00+05:30,-20.450000000000728,3,2024-10-23,long,2024-10-23 09:15:00,2024-10-28 15:25:00,24378.15,24367.7,,,-20.45,first-up-close
2024-11-13 00:00:00+05:30,-363.75,3,2024-11-13,long,2024-11-13 09:15:00,2024-11-19 15:25:00,23822.45,23468.7,,,-363.75,first-up-close
2024-12-19 00:00:00+05:30,-139.95000000000073,2,2024-12-19,long,2024-12-19 09:15:00,2024-12-23 15:25:00,23877.15,23747.2,,,-139.95,first-up-close
2025-06-04 00:00:00+05:30,41.54999999999927,0,2025-06-04,long,2025-06-04 09:15:00,2025-06-04 15:25:00,24560.45,24612.0,,,41.55,first-up-close
2025-06-16 00:00:00+05:30,198.60000000000218,0,2025-06-16,long,2025-06-16 09:15:00,2025-06-16 15:25:00,24732.35,24940.95,,,198.6,first-up-close
2025-07-14 00:00:00+05:30,60.150000000001455,1,2025-07-14,long,2025-07-14 09:15:00,2025-07-15 15:25:00,25149.5,25219.65,,,60.15,first-up-close
2025-07-21 00:00:00+05:30,84.29999999999927,0,2025-07-21,long,2025-07-21 09:15:00,2025-07-21 15:25:00,24999.0,25093.3,,,84.3,first-up-close
2025-07-29 00:00:00+05:30,210.75,0,2025-07-29,long,2025-07-29 09:15:00,2025-07-29 15:25:00,24609.65,24830.4,,,210.75,first-up-close
2025-08-04 00:00:00+05:30,120.85000000000218,0,2025-08-04,long,2025-08-04 09:15:00,2025-08-04 15:25:00,24596.05,24726.9,,,120.85,first-up-close
2025-08-29 00:00:00+05:30,147.59999999999854,1,2025-08-29,long,2025-08-29 09:15:00,2025-09-01 15:25:00,24466.7,24624.3,,,147.6,first-up-close
2025-09-25 00:00:00+05:30,-366.9500000000007,2,2025-09-25,long,2025-09-25 09:15:00,2025-09-29 15:25:00,25034.5,24677.55,,,-366.95,first-up-close
2025-10-01 00:00:00+05:30,222.85000000000218,0,2025-10-01,long,2025-10-01 09:15:00,2025-10-01 15:25:00,24620.55,24853.4,,,222.85,first-up-close
2025-11-07 00:00:00+05:30,130.45000000000073,1,2025-11-07,long,2025-11-07 09:15:00,2025-11-10 15:25:00,25433.8,25574.25,,,130.45,first-up-close
2025-12-04 00:00:00+05:30,25.25,0,2025-12-04,long,2025-12-04 09:15:00,2025-12-04 15:25:00,25981.85,26017.1,,,25.25,first-up-close
2025-12-11 00:00:00+05:30,117.0,0,2025-12-11,long,2025-12-11 09:15:00,2025-12-11 15:25:00,25771.4,25898.4,,,117.0,first-up-close
2026-01-09 00:00:00+05:30,-44.30000000000291,1,2026-01-09,long,2026-01-09 09:15:00,2026-01-12 15:25:00,25840.4,25806.1,,,-44.3,first-up-close
2026-01-21 00:00:00+05:30,169.45000000000073,1,2026-01-21,long,2026-01-21 09:15:00,2026-01-22 15:25:00,25141.0,25320.45,,,169.45,first-up-close
2026-02-16 00:00:00+05:30,248.85000000000218,0,2026-02-16,long,2026-02-16 09:15:00,2026-02-16 15:25:00,25423.6,25682.45,,,248.85,first-up-close
