date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,entry_wait_min,exit_wait_min,mae,mfe,exit_reason
2023-01-05,short,2023-01-05 09:15:00+05:30,18101.95,2023-01-05 09:20:00+05:30,18036.85,18167.05,18036.85,65.1,1,0.0,5.0,0.0,70.0,Target
2023-01-09,short,2023-01-09 09:15:00+05:30,17952.55,2023-01-09 09:40:00+05:30,18039.25,18039.25,17865.85,-86.7,5,0.0,25.0,-88.2,8.6,SL
2023-01-16,short,2023-01-16 09:15:00+05:30,18033.15,2023-01-16 09:45:00+05:30,17950.5,18115.8,17950.5,82.65,6,0.0,30.0,-0.3,82.9,Target
2023-01-23,short,2023-01-23 09:15:00+05:30,18118.45,2023-01-23 15:20:00+05:30,18113.7,18209.6,18027.3,4.75,73,0.0,365.0,-43.25,53.7,EOD
2023-01-24,short,2023-01-24 09:15:00+05:30,18183.95,2023-01-24 13:40:00+05:30,18104.95,18262.95,18104.95,79.0,53,0.0,265.0,-16.8,87.15,Target
2023-01-30,long,2023-01-30 09:15:00+05:30,17541.95,2023-01-30 09:20:00+05:30,17466.3,17476.0,17607.9,-75.65,1,0.0,5.0,-75.65,77.8,SL
2023-01-31,short,2023-01-31 09:15:00+05:30,17731.45,2023-01-31 09:20:00+05:30,17614.8,17795.65,17667.25,116.65,1,0.0,5.0,0.0,132.9,Target
2023-02-01,short,2023-02-01 09:15:00+05:30,17811.6,2023-02-01 12:30:00+05:30,17940.65,17940.65,17682.55,-129.05,39,0.0,195.0,-134.9,79.45,SL
2023-02-02,long,2023-02-02 09:15:00+05:30,17517.1,2023-02-02 09:35:00+05:30,17605.4,17428.8,17605.4,88.3,4,0.0,20.0,-57.4,92.9,Target
2023-02-03,short,2023-02-03 09:15:00+05:30,17721.75,2023-02-03 10:25:00+05:30,17611.75,17831.75,17611.75,110.0,14,0.0,70.0,0.0,111.0,Target
2023-02-14,short,2023-02-14 09:15:00+05:30,17840.35,2023-02-14 12:40:00+05:30,17916.15,17916.15,17764.55,-75.8,41,0.0,205.0,-78.25,39.9,SL
2023-02-16,short,2023-02-16 09:15:00+05:30,18094.75,2023-02-16 15:20:00+05:30,18031.2,18166.3,18023.2,63.55,73,0.0,365.0,-39.25,71.25,EOD
2023-02-21,short,2023-02-21 09:15:00+05:30,17905.8,2023-02-21 09:35:00+05:30,17847.7,17963.9,17847.7,58.1,4,0.0,20.0,0.0,60.5,Target
2023-02-22,long,2023-02-22 09:15:00+05:30,17755.35,2023-02-22 10:15:00+05:30,17668.6,17668.6,17842.1,-86.75,12,0.0,60.0,-91.2,0.0,SL
2023-02-24,short,2023-02-24 09:15:00+05:30,17591.35,2023-02-24 09:50:00+05:30,17523.8,17658.9,17523.8,67.55,7,0.0,35.0,-8.4,77.2,Target
2023-03-03,short,2023-03-03 09:15:00+05:30,17451.25,2023-03-03 13:30:00+05:30,17583.85,17583.85,17318.65,-132.6,51,0.0,255.0,-140.35,0.0,SL
2023-03-06,short,2023-03-06 09:15:00+05:30,17680.35,2023-03-06 09:45:00+05:30,17768.4,17768.4,17592.3,-88.05,6,0.0,30.0,-92.4,0.0,SL
2023-03-08,long,2023-03-08 09:15:00+05:30,17665.75,2023-03-08 09:20:00+05:30,17611.65,17611.65,17719.85,-54.1,1,0.0,5.0,-62.2,0.0,SL
2023-03-10,long,2023-03-10 09:15:00+05:30,17443.8,2023-03-10 15:20:00+05:30,17422.55,17304.8,17582.8,-21.25,73,0.0,365.0,-117.8,0.0,EOD
2023-03-15,short,2023-03-15 09:15:00+05:30,17166.45,2023-03-15 12:55:00+05:30,17068.65,17264.25,17068.65,97.8,44,0.0,220.0,-36.05,103.3,Target
2023-03-17,short,2023-03-17 09:15:00+05:30,17111.8,2023-03-17 11:30:00+05:30,17010.15,17213.45,17010.15,101.65,27,0.0,135.0,-11.05,107.25,Target
2023-03-20,long,2023-03-20 09:15:00+05:30,17066.6,2023-03-20 09:20:00+05:30,16983.35,17009.5,17123.7,-83.25,1,0.0,5.0,-131.9,0.0,SL
2023-03-21,short,2023-03-21 09:15:00+05:30,17060.4,2023-03-21 14:40:00+05:30,17117.35,17117.35,17003.45,-56.95,65,0.0,325.0,-66.2,43.75,SL
2023-03-22,short,2023-03-22 09:15:00+05:30,17177.45,2023-03-22 15:20:00+05:30,17150.7,17247.95,17106.95,26.75,73,0.0,365.0,-25.15,68.65,EOD
2023-03-27,short,2023-03-27 09:15:00+05:30,16984.3,2023-03-27 09:20:00+05:30,16932.6,17036.0,16932.6,51.7,1,0.0,5.0,0.0,64.9,Target
2023-03-28,short,2023-03-28 09:15:00+05:30,17031.75,2023-03-28 10:30:00+05:30,16963.45,17100.05,16963.45,68.3,15,0.0,75.0,-29.75,84.7,Target
2023-03-31,short,2023-03-31 09:15:00+05:30,17210.35,2023-03-31 12:30:00+05:30,17304.35,17304.35,17116.35,-94.0,39,0.0,195.0,-105.05,0.0,SL
2023-04-03,short,2023-04-03 09:15:00+05:30,17427.95,2023-04-03 09:25:00+05:30,17358.3,17497.6,17358.3,69.65,2,0.0,10.0,0.0,90.5,Target
2023-04-11,short,2023-04-11 09:15:00+05:30,17704.8,2023-04-11 15:20:00+05:30,17726.5,17796.55,17613.05,-21.7,73,0.0,365.0,-43.8,49.5,EOD
2023-04-18,short,2023-04-18 09:15:00+05:30,17766.6,2023-04-18 09:45:00+05:30,17704.1,17829.1,17704.1,62.5,6,0.0,30.0,0.0,72.55,Target
2023-04-24,short,2023-04-24 09:15:00+05:30,17707.55,2023-04-24 11:40:00+05:30,17618.9,17796.2,17618.9,88.65,29,0.0,145.0,0.0,89.1,Target
2023-05-02,short,2023-05-02 09:15:00+05:30,18124.8,2023-05-02 15:20:00+05:30,18141.5,18200.7,18048.9,-16.7,73,0.0,365.0,-55.0,15.1,EOD
2023-05-05,long,2023-05-05 09:15:00+05:30,18117.3,2023-05-05 15:20:00+05:30,18066.35,17996.0,18238.6,-50.95,73,0.0,365.0,-56.0,99.65,EOD
2023-05-10,short,2023-05-10 09:15:00+05:30,18313.6,2023-05-10 09:35:00+05:30,18258.3,18368.9,18258.3,55.3,4,0.0,20.0,-8.7,59.9,Target
2023-05-18,short,2023-05-18 09:15:00+05:30,18287.5,2023-05-18 12:45:00+05:30,18197.95,18377.05,18197.95,89.55,42,0.0,210.0,-8.95,92.35,Target
2023-05-23,short,2023-05-23 09:15:00+05:30,18362.9,2023-05-23 15:20:00+05:30,18325.5,18422.5,18303.3,37.4,73,0.0,365.0,-56.75,24.8,EOD
2023-05-29,short,2023-05-29 09:15:00+05:30,18619.15,2023-05-29 15:20:00+05:30,18595.55,18746.4,18491.9,23.6,73,0.0,365.0,-21.2,36.95,EOD
2023-06-01,short,2023-06-01 09:15:00+05:30,18579.4,2023-06-01 09:25:00+05:30,18521.3,18637.5,18521.3,58.1,2,0.0,10.0,0.0,61.1,Target
2023-06-02,short,2023-06-02 09:15:00+05:30,18550.85,2023-06-02 10:05:00+05:30,18486.1,18615.6,18486.1,64.75,10,0.0,50.0,-22.4,65.0,Target
2023-06-05,short,2023-06-05 09:15:00+05:30,18612.0,2023-06-05 15:20:00+05:30,18598.3,18698.15,18525.85,13.7,73,0.0,365.0,-27.4,28.7,EOD
2023-06-28,short,2023-06-28 09:15:00+05:30,18908.15,2023-06-28 13:15:00+05:30,18997.7,18997.7,18818.6,-89.55,48,0.0,240.0,-89.9,46.7,SL
2023-06-30,short,2023-06-30 09:15:00+05:30,19076.85,2023-06-30 14:35:00+05:30,19161.8,19161.8,18991.9,-84.95,64,0.0,320.0,-93.35,9.05,SL
2023-07-03,short,2023-07-03 09:15:00+05:30,19246.5,2023-07-03 09:30:00+05:30,19309.8,19309.8,19183.2,-63.3,3,0.0,15.0,-63.5,0.0,SL
2023-07-04,short,2023-07-04 09:15:00+05:30,19406.6,2023-07-04 09:55:00+05:30,19330.65,19482.55,19330.65,75.95,8,0.0,40.0,0.0,98.45,Target
2023-07-07,long,2023-07-07 09:15:00+05:30,19422.8,2023-07-07 09:25:00+05:30,19486.25,19359.35,19486.25,63.45,2,0.0,10.0,0.0,64.05,Target
2023-07-10,short,2023-07-10 09:15:00+05:30,19400.35,2023-07-10 15:20:00+05:30,19360.25,19476.05,19324.65,40.1,73,0.0,365.0,-35.5,73.25,EOD
2023-07-11,short,2023-07-11 09:15:00+05:30,19427.1,2023-07-11 09:55:00+05:30,19486.35,19486.35,19367.85,-59.25,8,0.0,40.0,-61.05,0.0,SL
2023-07-13,short,2023-07-13 09:15:00+05:30,19495.2,2023-07-13 15:20:00+05:30,19432.0,19605.65,19384.75,63.2,73,0.0,365.0,-71.8,109.4,EOD
2023-07-18,short,2023-07-18 09:15:00+05:30,19787.5,2023-07-18 11:40:00+05:30,19719.1,19855.9,19719.1,68.4,29,0.0,145.0,-31.95,87.3,Target
2023-07-21,long,2023-07-21 09:15:00+05:30,19800.45,2023-07-21 15:20:00+05:30,19772.35,19630.95,19969.95,-28.1,73,0.0,365.0,-100.45,86.95,EOD
2023-07-25,short,2023-07-25 09:15:00+05:30,19729.35,2023-07-25 09:50:00+05:30,19665.4,19793.3,19665.4,63.95,7,0.0,35.0,0.0,66.15,Target
2023-07-27,short,2023-07-27 09:15:00+05:30,19850.9,2023-07-27 11:15:00+05:30,19773.1,19928.7,19773.1,77.8,24,0.0,120.0,-16.65,93.75,Target
2023-08-02,long,2023-08-02 09:15:00+05:30,19655.4,2023-08-02 10:30:00+05:30,19574.7,19574.7,19736.1,-80.7,15,0.0,75.0,-81.8,0.0,SL
2023-08-04,short,2023-08-04 09:15:00+05:30,19462.8,2023-08-04 11:45:00+05:30,19531.15,19531.15,19394.45,-68.35,30,0.0,150.0,-69.15,26.35,SL
2023-08-07,short,2023-08-07 09:15:00+05:30,19576.85,2023-08-07 15:20:00+05:30,19599.9,19643.65,19510.05,-23.05,73,0.0,365.0,-43.6,51.3,EOD
2023-08-24,short,2023-08-24 09:15:00+05:30,19535.15,2023-08-24 12:10:00+05:30,19441.55,19628.75,19441.55,93.6,35,0.0,175.0,-49.3,94.3,Target
2023-08-25,long,2023-08-25 09:15:00+05:30,19297.4,2023-08-25 15:20:00+05:30,19247.2,19214.4,19380.4,-50.2,73,0.0,365.0,-66.75,42.15,EOD
2023-08-29,short,2023-08-29 09:15:00+05:30,19374.85,2023-08-29 15:20:00+05:30,19355.2,19447.05,19302.65,19.65,73,0.0,365.0,0.0,64.9,EOD
2023-08-30,short,2023-08-30 09:15:00+05:30,19433.45,2023-08-30 15:05:00+05:30,19352.95,19513.95,19352.95,80.5,70,0.0,350.0,-19.35,82.25,Target
2023-09-04,short,2023-09-04 09:15:00+05:30,19525.05,2023-09-04 15:20:00+05:30,19533.7,19626.75,19423.35,-8.65,73,0.0,365.0,-10.65,92.2,EOD
2023-09-11,short,2023-09-11 09:15:00+05:30,19890.0,2023-09-11 12:35:00+05:30,19959.5,19959.5,19820.5,-69.5,40,0.0,200.0,-71.6,5.3,SL
2023-09-12,short,2023-09-12 09:15:00+05:30,20110.15,2023-09-12 09:45:00+05:30,20000.0,20220.3,20000.0,110.15,6,0.0,30.0,0.0,118.2,Target
2023-09-14,short,2023-09-14 09:15:00+05:30,20127.95,2023-09-14 12:30:00+05:30,20063.35,20192.55,20063.35,64.6,39,0.0,195.0,-39.7,73.8,Target
2023-09-20,long,2023-09-20 09:15:00+05:30,19980.75,2023-09-20 15:20:00+05:30,19908.1,19837.85,20123.65,-72.65,73,0.0,365.0,-101.2,69.9,EOD
2023-09-21,long,2023-09-21 09:15:00+05:30,19840.55,2023-09-21 10:00:00+05:30,19771.55,19771.55,19909.55,-69.0,9,0.0,45.0,-76.9,0.0,SL
2023-10-04,long,2023-10-04 09:15:00+05:30,19446.3,2023-10-04 11:50:00+05:30,19369.65,19369.65,19522.95,-76.65,31,0.0,155.0,-85.6,0.0,SL
2023-10-05,short,2023-10-05 09:15:00+05:30,19521.85,2023-10-05 15:20:00+05:30,19547.05,19597.55,19446.15,-25.2,73,0.0,365.0,-55.1,34.55,EOD
2023-10-06,short,2023-10-06 09:15:00+05:30,19621.2,2023-10-06 15:20:00+05:30,19655.9,19695.8,19546.6,-34.7,73,0.0,365.0,-54.55,31.8,EOD
2023-10-09,long,2023-10-09 09:15:00+05:30,19539.45,2023-10-09 15:20:00+05:30,19502.2,19429.0,19649.9,-37.25,73,0.0,365.0,-58.95,49.5,EOD
2023-10-10,short,2023-10-10 09:15:00+05:30,19565.6,2023-10-10 12:00:00+05:30,19633.7,19633.7,19497.5,-68.1,33,0.0,165.0,-71.5,0.0,SL
2023-10-11,short,2023-10-11 09:15:00+05:30,19767.0,2023-10-11 15:20:00+05:30,19807.65,19842.5,19691.5,-40.65,73,0.0,365.0,-72.2,0.0,EOD
2023-10-13,long,2023-10-13 09:15:00+05:30,19654.55,2023-10-13 14:10:00+05:30,19782.9,19526.2,19782.9,128.35,59,0.0,295.0,0.0,130.05,Target
2023-10-17,short,2023-10-17 09:15:00+05:30,19843.2,2023-10-17 15:20:00+05:30,19818.25,19955.45,19730.95,24.95,73,0.0,365.0,-4.85,67.55,EOD
2023-10-19,long,2023-10-19 09:15:00+05:30,19545.2,2023-10-19 14:00:00+05:30,19668.25,19422.15,19668.25,123.05,57,0.0,285.0,-32.85,131.3,Target
2023-10-20,long,2023-10-20 09:15:00+05:30,19542.15,2023-10-20 15:20:00+05:30,19539.55,19472.4,19611.9,-2.6,73,0.0,365.0,-16.4,51.65,EOD
2023-10-26,long,2023-10-26 09:15:00+05:30,19027.25,2023-10-26 09:40:00+05:30,18928.85,18928.85,19125.65,-98.4,5,0.0,25.0,-101.5,0.0,SL
2023-10-27,short,2023-10-27 09:15:00+05:30,18928.75,2023-10-27 09:45:00+05:30,19009.0,19009.0,18848.5,-80.25,6,0.0,30.0,-88.25,0.0,SL
2023-10-31,short,2023-10-31 09:15:00+05:30,19232.95,2023-10-31 09:20:00+05:30,19148.85,19317.05,19148.85,84.1,1,0.0,5.0,0.0,86.0,Target
2023-11-02,short,2023-11-02 09:15:00+05:30,19120.0,2023-11-02 15:20:00+05:30,19143.4,19249.6,18990.4,-23.4,73,0.0,365.0,-55.25,55.85,EOD
2023-11-03,short,2023-11-03 09:15:00+05:30,19241.0,2023-11-03 15:20:00+05:30,19228.25,19337.15,19144.85,12.75,73,0.0,365.0,-35.25,30.1,EOD
2023-11-06,short,2023-11-06 09:15:00+05:30,19345.85,2023-11-06 15:20:00+05:30,19416.7,19465.65,19226.05,-70.85,73,0.0,365.0,-72.4,35.1,EOD
2023-11-12,short,2023-11-12 18:15:00+05:30,19547.25,2023-11-12 18:20:00+05:30,19534.6,19651.05,19443.45,12.65,1,0.0,5.0,0.0,0.0,EOD
2023-11-15,short,2023-11-15 09:15:00+05:30,19651.4,2023-11-15 15:20:00+05:30,19690.95,19862.65,19440.15,-39.55,73,0.0,365.0,-30.8,44.35,EOD
2023-11-17,long,2023-11-17 09:15:00+05:30,19674.75,2023-11-17 09:20:00+05:30,19761.15,19588.35,19761.15,86.4,1,0.0,5.0,0.0,86.75,Target
2023-11-21,short,2023-11-21 09:15:00+05:30,19770.9,2023-11-21 15:20:00+05:30,19785.0,19848.15,19693.65,-14.1,73,0.0,365.0,-58.2,11.35,EOD
2023-11-29,short,2023-11-29 09:15:00+05:30,19976.55,2023-11-29 12:45:00+05:30,20044.65,20044.65,19908.45,-68.1,42,0.0,210.0,-68.15,5.25,SL
2023-12-01,short,2023-12-01 09:15:00+05:30,20194.1,2023-12-01 10:10:00+05:30,20261.0,20261.0,20127.2,-66.9,11,0.0,55.0,-69.65,0.0,SL
2023-12-04,short,2023-12-04 09:15:00+05:30,20601.95,2023-12-04 15:20:00+05:30,20689.85,20948.15,20255.75,-87.9,73,0.0,365.0,-100.7,94.2,EOD
2023-12-05,short,2023-12-05 09:15:00+05:30,20808.9,2023-12-05 15:20:00+05:30,20858.15,20931.0,20686.8,-49.25,73,0.0,365.0,-55.15,97.75,EOD
2023-12-06,short,2023-12-06 09:15:00+05:30,20950.75,2023-12-06 13:25:00+05:30,20856.7,21044.8,20856.7,94.05,50,0.0,250.0,-7.9,98.6,Target
2023-12-14,short,2023-12-14 09:15:00+05:30,21110.4,2023-12-14 15:20:00+05:30,21205.65,21283.35,20937.45,-95.25,73,0.0,365.0,-100.5,8.3,EOD
2023-12-15,short,2023-12-15 09:15:00+05:30,21287.45,2023-12-15 14:50:00+05:30,21379.65,21379.65,21195.25,-92.2,67,0.0,335.0,-106.4,52.15,SL
2023-12-19,short,2023-12-19 09:15:00+05:30,21477.65,2023-12-19 09:35:00+05:30,21410.8,21544.5,21410.8,66.85,4,0.0,20.0,0.0,74.5,Target
2023-12-20,short,2023-12-20 09:15:00+05:30,21543.5,2023-12-20 13:20:00+05:30,21446.0,21641.0,21446.0,97.5,49,0.0,245.0,-49.5,104.85,Target
2023-12-21,long,2023-12-21 09:15:00+05:30,21033.95,2023-12-21 10:05:00+05:30,21101.5,20966.4,21101.5,67.55,10,0.0,50.0,-32.1,94.45,Target
2023-12-28,short,2023-12-28 09:15:00+05:30,21715.0,2023-12-28 15:05:00+05:30,21781.05,21781.05,21648.95,-66.05,70,0.0,350.0,-70.8,37.0,SL
2024-01-04,short,2024-01-04 09:15:00+05:30,21605.8,2024-01-04 15:20:00+05:30,21666.85,21687.9,21523.7,-61.05,73,0.0,365.0,-68.5,14.05,EOD
2024-01-09,short,2024-01-09 09:15:00+05:30,21653.6,2024-01-09 15:20:00+05:30,21545.15,21795.85,21511.35,108.45,73,0.0,365.0,-70.85,124.05,EOD
2024-01-12,short,2024-01-12 09:15:00+05:30,21773.55,2024-01-12 13:35:00+05:30,21877.7,21877.7,21669.4,-104.15,52,0.0,260.0,-106.2,54.75,SL
2024-01-15,short,2024-01-15 09:15:00+05:30,22053.15,2024-01-15 15:20:00+05:30,22104.65,22198.05,21908.25,-51.5,73,0.0,365.0,-51.4,89.6,EOD
2024-01-17,long,2024-01-17 09:15:00+05:30,21647.25,2024-01-17 15:20:00+05:30,21564.8,21262.9,22031.6,-82.45,73,0.0,365.0,-96.8,204.25,EOD
2024-01-18,long,2024-01-18 09:15:00+05:30,21414.2,2024-01-18 15:20:00+05:30,21472.5,21251.15,21577.25,58.3,73,0.0,365.0,-128.65,125.2,EOD
2024-01-19,short,2024-01-19 09:15:00+05:30,21615.2,2024-01-19 15:20:00+05:30,21635.2,21753.15,21477.25,-20.0,73,0.0,365.0,-55.4,40.2,EOD
2024-01-20,short,2024-01-20 09:15:00+05:30,21706.15,2024-01-20 09:40:00+05:30,21638.2,21774.1,21638.2,67.95,5,0.0,25.0,-10.45,69.45,Target
2024-01-23,short,2024-01-23 09:15:00+05:30,21716.7,2024-01-23 10:35:00+05:30,21586.95,21846.45,21586.95,129.75,16,0.0,80.0,-22.25,147.8,Target
2024-02-01,short,2024-02-01 09:15:00+05:30,21780.65,2024-02-01 09:30:00+05:30,21708.3,21853.0,21708.3,72.35,3,0.0,15.0,0.0,75.2,Target
2024-02-02,short,2024-02-02 09:15:00+05:30,21812.75,2024-02-02 09:20:00+05:30,21935.2,21935.2,21690.3,-122.45,1,0.0,5.0,-136.4,0.0,SL
2024-02-05,short,2024-02-05 09:15:00+05:30,21921.05,2024-02-05 09:20:00+05:30,21844.65,21988.8,21853.3,76.4,1,0.0,5.0,0.0,85.25,Target
2024-02-07,short,2024-02-07 09:15:00+05:30,22045.05,2024-02-07 11:05:00+05:30,21938.8,22151.3,21938.8,106.25,22,0.0,110.0,0.0,112.55,Target
2024-02-14,long,2024-02-14 09:15:00+05:30,21578.15,2024-02-14 14:15:00+05:30,21728.0,21428.3,21728.0,149.85,60,0.0,300.0,-47.95,163.2,Target
2024-02-16,short,2024-02-16 09:15:00+05:30,22020.3,2024-02-16 15:20:00+05:30,22028.95,22113.55,21927.05,-8.65,73,0.0,365.0,-48.35,51.35,EOD
2024-02-19,short,2024-02-19 09:15:00+05:30,22103.45,2024-02-19 09:50:00+05:30,22033.5,22173.4,22033.5,69.95,7,0.0,35.0,0.0,78.2,Target
