date,side,reversal,entry_dt,entry,sl,target,exit_dt,exit,exit_reason,bars_held,entry_wait_min,exit_wait_min,mae,mfe,pnl
2015-04-06,long,R,2015-04-06T15:25:00+05:30,8659.9,8573.8,,2015-04-16T15:25:00+05:30,8706.7,trail,6,0,2250,-73.1,181.8,46.8
2015-05-18,long,R,2015-05-18T15:25:00+05:30,8373.7,8272.0,,2015-05-25T15:25:00+05:30,8370.2,trail,5,0,1875,-38.7,115.9,-3.4
2015-06-19,long,R,2015-06-19T15:25:00+05:30,8225.0,8195.7,,2015-06-29T15:25:00+05:30,8318.4,trail,6,0,2250,-29.3,198.2,93.5
2015-07-01,long,U,2015-07-01T15:25:00+05:30,8453.0,8370.2,,2015-07-08T15:25:00+05:30,8363.0,trail,5,0,1875,-111.6,108.3,-90.0
2015-07-13,long,G,2015-07-13T15:25:00+05:30,8459.7,8355.4,,2015-07-21T15:25:00+05:30,8529.5,trail,6,0,2250,-35.6,187.1,69.8
2015-07-22,long,W,2015-07-22T15:25:00+05:30,8633.5,8498.7,,2015-07-24T15:25:00+05:30,8521.5,trail,2,0,750,-120.0,21.2,-112.0
2015-07-31,long,R,2015-07-31T15:25:00+05:30,8532.8,8448.0,,2015-08-10T15:25:00+05:30,8525.6,trail,6,0,2250,-84.6,88.7,-7.2
2015-08-14,long,R,2015-08-14T15:25:00+05:30,8518.5,8381.2,,2015-08-20T15:25:00+05:30,8372.8,trail,4,0,1500,-158.8,12.0,-145.8
2015-09-16,long,R,2015-09-16T15:25:00+05:30,7899.1,7853.3,,2015-09-22T15:25:00+05:30,7812.0,trail,3,0,1125,-111.4,155.9,-87.1
2015-09-23,long,R,2015-09-23T15:25:00+05:30,7846.0,7723.2,,2015-09-28T15:25:00+05:30,7795.7,trail,2,0,750,-58.0,48.5,-50.2
2015-09-29,long,R,2015-09-29T15:25:00+05:30,7843.3,7691.2,,2015-10-08T15:25:00+05:30,8129.4,trail,6,0,2250,31.2,353.5,286.1
2015-10-09,long,G,2015-10-09T15:25:00+05:30,8189.7,8139.6,,2015-10-26T15:25:00+05:30,8260.5,trail,10,0,3750,-101.1,146.6,70.8
2015-11-27,long,R,2015-11-27T15:25:00+05:30,7942.7,7879.5,,2015-12-02T15:25:00+05:30,7931.4,trail,3,0,1125,-31.9,36.6,-11.4
2015-12-17,long,R,2015-12-17T15:25:00+05:30,7844.4,7737.5,,2015-12-30T15:25:00+05:30,7896.2,trail,8,0,3000,-110.9,100.4,51.9
2016-01-29,long,R,2016-01-29T15:25:00+05:30,7563.5,7402.8,,2016-02-02T15:25:00+05:30,7455.5,trail,2,0,750,-135.5,36.9,-108.0
2016-02-05,long,R,2016-02-05T15:25:00+05:30,7489.1,7406.6,,2016-02-08T15:25:00+05:30,7387.2,trail,1,0,375,-125.9,23.4,-101.9
2016-03-01,long,R,2016-03-01T15:25:00+05:30,7222.3,7035.1,,2016-03-15T15:25:00+05:30,7460.6,trail,9,0,3375,85.9,361.4,238.3
2016-03-22,long,U,2016-03-22T15:25:00+05:30,7714.9,7643.8,,2016-03-28T15:25:00+05:30,7615.1,trail,2,0,750,-127.2,34.5,-99.8
2016-03-30,long,G,2016-03-30T15:25:00+05:30,7735.2,7643.5,,2016-04-05T15:25:00+05:30,7603.2,trail,4,0,1500,-146.6,42.4,-132.0
2016-04-11,long,R,2016-04-11T15:25:00+05:30,7671.4,7516.9,,2016-04-25T15:25:00+05:30,7855.0,trail,7,0,2625,-8.0,307.1,183.6
2016-04-26,long,W,2016-04-26T15:25:00+05:30,7962.6,7822.5,,2016-04-28T15:25:00+05:30,7847.2,trail,2,0,750,-128.2,29.4,-115.4
2016-05-09,long,R,2016-05-09T15:25:00+05:30,7866.0,7753.5,,2016-05-13T15:25:00+05:30,7814.9,trail,4,0,1500,-85.1,50.0,-51.1
2016-05-16,long,R,2016-05-16T15:25:00+05:30,7860.8,7772.1,,2016-05-18T15:25:00+05:30,7870.1,trail,2,0,750,-50.0,79.4,9.4
2016-05-25,long,R,2016-05-25T15:25:00+05:30,7934.9,7809.3,,2016-06-06T15:25:00+05:30,8201.0,trail,8,0,3000,13.6,327.1,266.1
2016-06-07,long,G,2016-06-07T15:25:00+05:30,8266.5,8216.4,,2016-06-09T15:25:00+05:30,8203.6,trail,2,0,750,-81.9,22.5,-62.9
2016-06-15,long,G,2016-06-15T15:25:00+05:30,8206.6,8123.1,,2016-06-24T15:25:00+05:30,8088.6,trail,7,0,2625,-279.5,79.0,-118.0
2016-06-29,long,R,2016-06-29T15:25:00+05:30,8204.0,8157.6,,2016-07-05T15:25:00+05:30,8336.0,trail,4,0,1500,38.1,194.5,132.0
2016-07-11,long,G,2016-07-11T15:25:00+05:30,8467.9,8407.0,,2016-07-18T15:25:00+05:30,8508.7,trail,5,0,1875,11.3,126.9,40.8
2016-07-25,long,W,2016-07-25T15:25:00+05:30,8635.7,8517.2,,2016-08-03T15:25:00+05:30,8544.8,trail,7,0,2625,-106.1,75.6,-90.8
2016-08-05,long,R,2016-08-05T15:25:00+05:30,8683.2,8590.2,,2016-08-09T15:25:00+05:30,8678.2,trail,2,0,750,-45.0,45.2,-4.9
2016-08-16,long,R,2016-08-16T15:25:00+05:30,8642.5,8600.5,,2016-08-22T15:25:00+05:30,8629.2,trail,4,0,1500,-39.0,54.0,-13.4
2016-08-30,long,R,2016-08-30T15:25:00+05:30,8744.3,8642.2,,2016-09-09T15:25:00+05:30,8866.7,trail,7,0,2625,9.7,224.4,122.4
2016-09-14,long,R,2016-09-14T15:25:00+05:30,8726.6,8688.9,,2016-09-23T15:25:00+05:30,8831.5,trail,7,0,2625,-22.2,166.8,105.0
2016-10-20,long,R,2016-10-20T15:25:00+05:30,8699.4,8678.3,,2016-10-26T15:25:00+05:30,8615.2,trail,4,0,1500,-102.8,37.5,-84.2
2016-12-08,long,R,2016-12-08T15:25:00+05:30,8246.8,8151.8,,2016-12-12T15:25:00+05:30,8170.8,trail,2,0,750,-92.4,28.1,-76.0
2016-12-13,long,G,2016-12-13T15:25:00+05:30,8221.8,8155.8,,2016-12-15T15:25:00+05:30,8153.6,trail,2,0,750,-99.8,7.6,-68.2
2016-12-30,long,R,2016-12-30T15:25:00+05:30,8185.8,8114.8,,2017-01-20T15:25:00+05:30,8349.3,trail,15,0,5625,-52.0,275.2,163.5
2017-01-25,long,W,2017-01-25T15:25:00+05:30,8602.8,8494.0,,2017-01-31T15:25:00+05:30,8561.3,trail,3,0,1125,-50.3,70.0,-41.5
2017-02-01,long,W,2017-02-01T15:25:00+05:30,8716.4,8537.5,,2017-02-07T15:25:00+05:30,8768.3,trail,4,0,1500,-30.6,97.7,51.9
2017-03-16,long,G,2017-03-16T15:25:00+05:30,9153.7,9128.5,,2017-03-20T15:25:00+05:30,9126.8,trail,2,0,750,-37.4,64.7,-26.9
2017-03-28,long,G,2017-03-28T15:25:00+05:30,9100.8,9079.8,,2017-04-07T15:25:00+05:30,9198.3,trail,7,0,2625,8.3,173.1,97.5
