date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,hold
2017-01-31,short,2017-01-31 09:15:00,2017-02-06 15:25:00,8629.45,8785.45,8782.51,8476.39,-166.0,sl,4
2017-02-08,short,2017-02-08 09:15:00,2017-02-17 15:25:00,8774.55,8821.7,8932.89,8616.21,-57.15,time,7
2017-02-27,short,2017-02-27 09:15:00,2017-03-08 15:25:00,8943.7,8924.3,9092.77,8794.63,9.4,time,7
2017-03-16,short,2017-03-16 09:15:00,2017-03-27 15:25:00,9129.65,9045.2,9278.29,8981.01,74.45,time,7
2017-07-12,short,2017-07-12 09:15:00,2017-07-21 15:25:00,9807.3,9915.25,9949.86,9664.74,-117.95,time,7
2017-08-03,short,2017-08-03 09:15:00,2017-08-09 15:25:00,10081.15,9933.73,10228.57,9933.73,137.42,tgt,4
2017-11-07,short,2017-11-07 09:15:00,2017-11-08 15:25:00,10477.15,10319.83,10634.47,10319.83,147.32,tgt,1
2018-01-16,short,2018-01-16 09:15:00,2018-01-22 15:25:00,10761.5,10931.84,10931.84,10591.16,-180.34,sl,4
2018-08-07,short,2018-08-07 09:15:00,2018-08-17 15:25:00,11423.15,11470.75,11599.65,11246.65,-57.6,time,7
2018-08-30,short,2018-08-30 09:15:00,2018-09-04 15:25:00,11694.75,11527.62,11861.88,11527.62,157.13,tgt,3
2019-04-02,short,2019-04-02 09:15:00,2019-04-11 15:25:00,11711.55,11596.7,11952.87,11470.23,104.85,time,7
2019-11-05,short,2019-11-05 09:15:00,2019-11-15 15:25:00,11974.6,11895.45,12261.06,11688.14,69.15,time,7
2021-08-26,short,2021-08-26 09:15:00,2021-08-30 15:25:00,16627.95,16927.33,16927.33,16328.57,-309.38,sl,2
2022-08-22,short,2022-08-22 09:15:00,2022-08-29 15:25:00,17682.9,17188.65,18060.52,17305.28,484.25,tgt,5
2023-07-12,short,2023-07-12 09:15:00,2023-07-18 15:25:00,19497.45,19787.5,19781.03,19213.87,-300.05,sl,4
2023-09-20,short,2023-09-20 09:15:00,2023-09-22 15:25:00,19980.75,19697.94,20263.56,19697.94,272.81,tgt,2
2023-12-13,short,2023-12-13 09:15:00,2023-12-15 15:25:00,20929.75,21287.45,21239.01,20620.49,-367.7,sl,2
2024-01-02,short,2024-01-02 09:15:00,2024-01-11 15:25:00,21751.35,21647.2,22123.97,21378.73,94.15,time,7
2024-07-18,short,2024-07-18 09:15:00,2024-07-23 15:25:00,24543.8,24106.8,24980.8,24106.8,427.0,tgt,3
2024-07-31,short,2024-07-31 09:15:00,2024-08-05 15:25:00,24886.7,24302.85,25394.46,24378.94,573.85,tgt,3
2024-09-25,short,2024-09-25 09:15:00,2024-10-03 15:25:00,25899.45,25452.85,26324.37,25474.52,436.6,tgt,5
2025-10-21,short,2025-10-21 09:15:00,2025-10-31 15:25:00,25901.2,25722.1,26300.33,25502.07,169.1,time,7
