date,side,entry_dt,entry,sl,target,exit_dt,exit,exit_reason,bars_held,mae,mfe,pnl
2015-03-20,short,2015-03-20,8627.9,8822.23,,2015-03-23,8550.9,time,2,,,77.0
2015-04-20,short,2015-04-20,8618.8,8790.02,,2015-04-21,8377.75,time,2,,,241.05
2015-05-08,short,2015-05-08,8131.5,8337.76,,2015-05-11,8325.25,time,2,,,-193.75
2015-05-27,short,2015-05-27,8302.75,8469.14,,2015-05-28,8319.0,time,2,,,-16.25
2015-06-04,short,2015-06-04,8155.15,8301.32,,2015-06-05,8114.7,time,2,,,40.45
2015-06-15,short,2015-06-15,7986.6,8149.08,,2015-06-16,8047.3,time,2,,,-60.7
2015-08-24,short,2015-08-24,8055.95,8216.18,,2015-08-25,7880.7,time,2,,,175.25
2015-09-02,short,2015-09-02,7856.65,8115.85,,2015-09-03,7823.0,time,2,,,33.65
2015-09-24,short,2015-09-24,7838.4,8050.7,,2015-09-28,7795.7,time,2,,,42.7
2015-12-07,short,2015-12-07,7816.55,7933.8,,2015-12-08,7701.7,time,2,,,114.85
2016-01-06,short,2016-01-06,7788.05,7910.77,,2016-01-07,7568.3,time,2,,,219.75
2016-02-04,short,2016-02-04,7411.45,7598.18,,2016-02-05,7489.1,time,2,,,-77.65
2016-02-10,short,2016-02-10,7264.3,7442.1,,2016-02-11,6976.35,time,2,,,287.95
2016-02-18,short,2016-02-18,7177.4,7393.32,,2016-02-19,7210.75,time,2,,,-33.35
2016-02-25,short,2016-02-25,7029.85,7236.05,,2016-02-26,7029.75,time,2,,,0.1
2016-10-10,short,2016-10-10,8735.35,8875.07,,2016-10-13,8573.35,time,2,,,162.0
2016-10-28,short,2016-10-28,8625.0,8750.24,,2016-11-01,8626.25,time,2,,,-1.25
2016-11-16,short,2016-11-16,8205.65,8417.29,,2016-11-17,8079.95,time,2,,,125.7
2016-12-06,short,2016-12-06,8153.15,8303.89,,2016-12-07,8102.05,time,2,,,51.1
2016-12-16,short,2016-12-16,8178.2,8308.68,,2016-12-19,8104.35,time,2,,,73.85
2017-08-22,short,2017-08-22,9815.75,9967.21,,2017-08-23,9852.5,time,2,,,-36.75
2017-09-26,short,2017-09-26,9875.25,9997.43,,2017-09-27,9735.75,time,2,,,139.5
2018-02-20,short,2018-02-20,10391.0,10657.09,,2018-02-21,10397.45,time,2,,,-6.45
2018-03-05,short,2018-03-05,10428.3,10599.15,,2018-03-06,10249.25,time,2,,,179.05
2018-03-19,short,2018-03-19,10215.35,10397.02,,2018-03-20,10124.35,time,2,,,91.0
2018-09-19,short,2018-09-19,11326.65,11524.5,,2018-09-21,11143.1,time,2,,,183.55
2018-10-22,short,2018-10-22,10405.85,10724.63,,2018-10-23,10146.8,time,2,,,259.05
2018-11-22,short,2018-11-22,10612.65,10786.84,,2018-11-26,10628.6,time,2,,,-15.95
2019-03-01,short,2019-03-01,10842.65,11021.68,,2019-03-05,10987.45,time,2,,,-144.8
2019-07-09,short,2019-07-09,11531.6,11728.87,,2019-07-10,11498.9,time,2,,,32.7
2019-07-22,short,2019-07-22,11392.85,11576.02,,2019-07-23,11331.05,time,2,,,61.8
2019-08-22,short,2019-08-22,10905.3,11163.09,,2019-08-23,10829.35,time,2,,,75.95
2019-09-05,short,2019-09-05,10860.95,11102.29,,2019-09-06,10946.2,time,2,,,-85.25
2019-09-18,short,2019-09-18,10872.8,11072.4,,2019-09-19,10704.8,time,2,,,168.0
2020-01-29,short,2020-01-29,12114.9,12284.21,,2020-01-30,12035.8,time,2,,,79.1
2020-02-18,short,2020-02-18,12028.25,12251.1,,2020-02-19,12125.9,time,2,,,-97.65
2020-02-25,short,2020-02-25,11877.5,12086.33,,2020-02-26,11678.5,time,2,,,199.0
2020-04-07,short,2020-04-07,8446.3,9332.37,,2020-04-08,8748.75,time,2,,,-302.45
2020-05-06,short,2020-05-06,9226.8,9638.98,,2020-05-07,9199.05,time,2,,,27.75
2020-05-18,short,2020-05-18,9158.3,9532.42,,2020-05-19,8879.1,time,2,,,279.2
2020-09-22,short,2020-09-22,11301.75,11519.99,,2020-09-23,11131.85,time,2,,,169.9
2021-03-26,short,2021-03-26,14506.3,14893.41,,2021-03-30,14845.1,time,2,,,-338.8
2021-04-07,short,2021-04-07,14716.45,15121.69,,2021-04-08,14873.8,time,2,,,-157.35
2021-04-15,short,2021-04-15,14522.4,14921.82,,2021-04-16,14617.85,time,2,,,-95.45
2021-04-22,short,2021-04-22,14219.15,14631.28,,2021-04-23,14341.35,time,2,,,-122.2
2021-05-04,short,2021-05-04,14687.25,15099.46,,2021-05-05,14617.85,time,2,,,69.4
2021-05-17,short,2021-05-17,14756.25,15052.41,,2021-05-18,15108.1,time,2,,,-351.85
2021-12-07,short,2021-12-07,17044.1,17510.5,,2021-12-08,17469.75,time,2,,,-425.65
2021-12-15,short,2021-12-15,17323.65,17756.9,,2021-12-16,17248.4,time,2,,,75.25
2022-02-08,short,2022-02-08,17279.85,17774.98,,2022-02-09,17463.8,time,2,,,-183.95
2022-02-15,short,2022-02-15,16933.25,17413.21,,2022-02-16,17322.2,time,2,,,-388.95
2022-02-22,short,2022-02-22,16847.95,17279.89,,2022-02-23,17063.25,time,2,,,-215.3
2022-03-04,short,2022-03-04,16339.45,16907.63,,2022-03-07,15863.15,time,2,,,476.3
2022-04-26,short,2022-04-26,17121.3,17516.21,,2022-04-27,17038.4,time,2,,,82.9
2022-05-04,short,2022-05-04,17096.6,17500.54,,2022-05-05,16682.65,time,2,,,413.95
2022-05-26,short,2022-05-26,16105.0,16571.67,,2022-05-27,16352.45,time,2,,,-247.45
2022-06-09,short,2022-06-09,16263.85,16624.47,,2022-06-10,16201.8,time,2,,,62.05
2022-06-14,short,2022-06-14,15674.25,16054.74,,2022-06-15,15692.15,time,2,,,-17.9
