date,side,entry_dt,entry,sl,target,exit_dt,exit,exit_reason,bars_held,mae,mfe,pnl
2022-07-14,short,2022-07-14,16018.85,16305.24,,2022-07-15,16049.2,time,2,,,-30.35
2022-10-13,short,2022-10-13,17087.35,17483.32,,2022-10-14,17185.7,time,2,,,-98.35
2023-01-06,short,2023-01-06,18008.05,18330.83,,2023-01-09,18101.2,time,2,,,-93.15
2023-01-12,short,2023-01-12,17920.85,18242.75,,2023-01-13,17956.6,time,2,,,-35.75
2023-01-30,short,2023-01-30,17541.95,17842.61,,2023-01-31,17662.15,time,2,,,-120.2
2023-02-21,short,2023-02-21,17905.8,18209.03,,2023-02-22,17554.3,time,2,,,351.5
2023-03-13,short,2023-03-13,17421.9,17718.46,,2023-03-14,17043.3,time,2,,,378.6
2023-03-27,short,2023-03-27,16984.3,17308.21,,2023-03-28,16951.7,time,2,,,32.6
2023-08-28,short,2023-08-28,19298.35,19509.11,,2023-08-29,19342.65,time,2,,,-44.3
2024-10-17,short,2024-10-17,25027.4,25443.8,,2024-10-18,24854.05,time,2,,,173.35
2024-11-01,short,2024-11-01,24302.75,24705.87,,2024-11-04,23995.35,time,2,,,307.4
2024-11-11,short,2024-11-11,24087.25,24534.83,,2024-11-12,23883.45,time,2,,,203.8
2024-12-19,short,2024-12-19,23877.15,24265.01,,2024-12-20,23587.5,time,2,,,289.65
2025-01-08,short,2025-01-08,23746.65,24194.79,,2025-01-09,23526.5,time,2,,,220.15
2025-01-23,short,2025-01-23,23128.3,23513.0,,2025-01-24,23092.2,time,2,,,36.1
2025-01-28,short,2025-01-28,22960.45,23328.55,,2025-01-29,23163.1,time,2,,,-202.65
2025-02-11,short,2025-02-11,23383.55,23771.57,,2025-02-12,23045.25,time,2,,,338.3
2025-07-28,short,2025-07-28,24782.45,25050.22,,2025-07-29,24821.1,time,2,,,-38.65
2025-08-29,short,2025-08-29,24466.7,24784.94,,2025-09-01,24625.05,time,2,,,-158.35
2026-02-16,short,2026-02-16,25423.6,25916.05,,2026-02-17,25725.4,time,2,,,-301.8
2026-02-23,short,2026-02-23,25678.4,26152.21,,2026-02-24,25424.65,time,2,,,253.75
2026-02-26,short,2026-02-26,25556.3,25934.72,,2026-02-27,25178.65,time,2,,,377.65
2026-03-23,short,2026-03-23,22824.35,23522.77,,2026-03-24,22912.4,time,2,,,-88.05
2026-04-01,short,2026-04-01,22899.0,23615.27,,2026-04-02,22713.1,time,2,,,185.9
2026-04-27,short,2026-04-27,23945.45,24508.78,,2026-04-28,23995.7,time,2,,,-50.25
2026-05-12,short,2026-05-12,23722.6,24145.5,,2026-05-13,23412.6,time,2,,,310.0
2026-06-02,short,2026-06-02,23229.15,23684.64,,2026-06-03,23405.6,time,2,,,-176.45
