date,side,reversal,entry_dt,entry,sl,target,exit_dt,exit,exit_reason,bars_held,entry_wait_min,exit_wait_min,mae,mfe,pnl
2024-01-29,long,carry_mom,2024-01-29T15:25:00+05:30,21744.8,21429.6,,2024-02-05T15:25:00+05:30,21761.3,trail,5,0,1875,-296.0,382.0,16.5
2024-01-31,long,carry_mom,2024-01-31T15:25:00+05:30,21708.3,21448.8,,2024-02-05T15:25:00+05:30,21761.3,trail,3,0,1125,-49.5,418.5,53.0
2024-02-14,long,carry_mom,2024-02-14T15:25:00+05:30,21848.7,21530.2,,2024-02-21T15:25:00+05:30,22028.8,trail,5,0,1875,-53.9,400.7,180.0
2024-03-01,long,carry_mom,2024-03-01T15:25:00+05:30,22326.0,22047.8,,2024-03-11T15:25:00+05:30,22319.8,trail,6,0,2250,-101.7,200.5,-6.2
2024-03-28,long,carry_mom,2024-03-28T15:25:00+05:30,22343.1,22163.6,,2024-04-12T15:25:00+05:30,22519.4,trail,9,0,3375,-39.3,432.6,176.3
2024-05-23,long,carry_mom,2024-05-23T15:25:00+05:30,22951.0,22577.5,,2024-05-28T15:25:00+05:30,22868.7,trail,3,0,1125,-92.5,159.8,-82.3
2024-06-07,long,carry_mom,2024-06-07T15:25:00+05:30,23270.0,22789.0,,2024-07-10T15:25:00+05:30,24312.4,trail,22,0,8250,-63.4,1191.0,1042.4
2024-07-26,long,carry_mom,2024-07-26T15:25:00+05:30,24851.8,24410.9,,2024-08-02T15:25:00+05:30,24699.5,trail,5,0,1875,-164.9,226.5,-152.3
2024-08-16,long,carry_mom,2024-08-16T15:25:00+05:30,24539.2,24204.5,,2024-09-04T15:25:00+05:30,25206.3,trail,13,0,4875,-16.2,794.5,667.1
2024-09-20,long,carry_mom,2024-09-20T15:25:00+05:30,25820.3,25426.6,,2024-09-30T15:25:00+05:30,25822.8,trail,6,0,2250,-26.2,457.0,2.5
2024-12-05,long,carry_mom,2024-12-05T15:25:00+05:30,24701.5,24295.5,,2024-12-12T15:25:00+05:30,24539.5,trail,5,0,1875,-190.9,49.5,-162.0
2025-04-17,long,carry_mom,2025-04-17T15:25:00+05:30,23837.8,23298.5,,2025-04-25T15:25:00+05:30,23991.7,trail,5,0,1875,10.1,527.7,153.9
2025-04-21,long,carry_mom,2025-04-21T15:25:00+05:30,24121.2,23903.7,,2025-04-25T15:25:00+05:30,23991.7,trail,4,0,1500,-273.4,244.2,-129.5
2025-05-12,long,carry_mom,2025-05-12T15:25:00+05:30,24920.2,24378.8,,2025-05-19T15:25:00+05:30,24935.3,trail,5,0,1875,-425.8,196.0,15.1
2025-06-06,long,carry_mom,2025-06-06T15:25:00+05:30,25000.3,24671.5,,2025-06-12T15:25:00+05:30,24856.0,trail,4,0,1500,-174.4,222.1,-144.3
2025-06-20,long,carry_mom,2025-06-20T15:25:00+05:30,25079.8,24783.7,,2025-06-30T15:25:00+05:30,25507.5,trail,6,0,2250,-254.9,589.6,427.7
2025-11-26,long,carry_mom,2025-11-26T15:25:00+05:30,26203.5,25843.0,,2025-12-02T15:25:00+05:30,26057.0,trail,4,0,1500,-205.7,122.3,-146.5
2026-04-13,long,carry_mom,2026-04-13T15:25:00+05:30,23818.9,23555.6,,2026-04-23T15:25:00+05:30,24156.0,trail,7,0,2625,277.1,782.8,337.1
