date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,drop3_pct,gap_pct,rvol20
2022-06-17,long,2022-06-17 09:15:00,2022-06-17 15:25:00,15272.65,15293.5,,,10.85,eod,3.9,-0.57,1.28
2022-08-23,long,2022-08-23 09:15:00,2022-08-23 15:25:00,17357.35,17577.5,,,210.15,eod,3.7,-0.76,0.82
2022-09-26,long,2022-09-26 09:15:00,2022-09-26 15:25:00,17156.3,17016.3,,,-150.0,eod,4.0,-0.99,1.07
2022-09-28,long,2022-09-28 09:15:00,2022-09-28 15:25:00,16870.55,16858.6,,,-21.95,eod,4.6,-0.8,1.1
2023-01-30,long,2023-01-30 09:15:00,2023-01-30 15:25:00,17541.95,17648.95,,,97.0,eod,3.8,-0.35,0.76
2024-10-04,long,2024-10-04 09:15:00,2024-10-04 15:25:00,25181.9,25014.6,,,-177.3,eod,3.8,-0.27,0.9
2024-12-19,long,2024-12-19 09:15:00,2024-12-19 15:25:00,23877.15,23951.7,,,64.55,eod,3.8,-1.33,0.91
2025-04-07,long,2025-04-07 09:15:00,2025-04-07 15:25:00,21758.4,22161.6,,,393.2,eod,7.3,-5.0,0.83
2026-03-02,long,2026-03-02 09:15:00,2026-03-02 15:25:00,24659.25,24865.7,,,196.45,eod,4.0,-2.06,0.93
2026-03-04,long,2026-03-04 09:15:00,2026-03-04 15:25:00,24388.8,24480.5,,,81.7,eod,4.9,-1.92,0.95
2026-03-09,long,2026-03-09 09:15:00,2026-03-09 15:25:00,23868.05,24028.05,,,150.0,eod,4.1,-2.38,0.88
2026-03-13,long,2026-03-13 09:15:00,2026-03-13 15:25:00,23462.5,23151.1,,,-321.4,eod,3.6,-0.75,0.98
2026-03-16,long,2026-03-16 09:15:00,2026-03-16 15:25:00,23116.1,23408.8,,,282.7,eod,5.1,-0.15,1.05
2026-03-23,long,2026-03-23 09:15:00,2026-03-23 15:25:00,22824.35,22512.65,,,-321.7,eod,4.5,-1.26,1.28
2026-03-30,long,2026-03-30 09:15:00,2026-03-30 15:25:00,22549.65,22331.4,,,-228.25,eod,4.1,-1.18,1.54
2026-04-02,long,2026-04-02 09:15:00,2026-04-02 15:25:00,22383.4,22713.1,,,319.7,eod,3.6,-1.31,1.64
