date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,drop3_pct,gap_pct,rvol20
2015-11-09,long,2015-11-09 09:15:00,2015-11-09 15:25:00,7788.25,7915.2,,,116.95,eod,4.2,-2.09,0.54
2016-01-11,long,2016-01-11 09:15:00,2016-01-11 15:25:00,7527.45,7563.85,,,26.4,eod,3.6,-0.97,0.98
2016-02-11,long,2016-02-11 09:15:00,2016-02-11 15:25:00,7203.6,6976.35,,,-237.25,eod,4.3,-0.17,1.13
2016-11-09,long,2016-11-09 09:15:00,2016-11-09 15:25:00,8067.5,8432.0,,,354.5,eod,6.1,-5.57,0.74
2017-08-11,long,2017-08-11 09:15:00,2017-08-11 15:25:00,9712.15,9710.8,,,-11.35,eod,3.8,-1.1,0.54
2018-02-05,long,2018-02-05 09:15:00,2018-02-05 15:25:00,10604.3,10666.55,,,52.25,eod,4.8,-1.45,0.73
2018-02-06,long,2018-02-06 09:15:00,2018-02-06 15:25:00,10295.15,10498.25,,,193.1,eod,8.0,-3.48,0.76
2018-03-20,long,2018-03-20 09:15:00,2018-03-20 15:25:00,10051.55,10124.35,,,62.8,eod,3.7,-0.42,0.84
2018-10-05,long,2018-10-05 09:15:00,2018-10-05 15:25:00,10514.1,10316.45,,,-207.65,eod,5.0,-0.8,0.97
2018-10-19,long,2018-10-19 09:15:00,2018-10-19 15:25:00,10339.7,10303.55,,,-46.15,eod,3.6,-1.08,1.3
2018-10-23,long,2018-10-23 09:15:00,2018-10-23 15:25:00,10152.6,10146.8,,,-15.8,eod,5.5,-0.9,1.32
2018-12-11,long,2018-12-11 09:15:00,2018-12-11 15:25:00,10350.05,10549.15,,,189.1,eod,3.6,-1.32,0.9
2019-07-09,long,2019-07-09 09:15:00,2019-07-09 15:25:00,11531.6,11555.9,,,14.3,eod,3.9,-0.23,0.8
2019-07-10,long,2019-07-10 09:15:00,2019-07-10 15:25:00,11536.15,11498.9,,,-47.25,eod,3.9,-0.17,0.79
2019-08-23,long,2019-08-23 09:15:00,2019-08-23 15:25:00,10699.6,10829.35,,,119.75,eod,3.5,-0.39,0.9
2020-02-03,long,2020-02-03 09:15:00,2020-02-03 15:25:00,11627.45,11707.9,,,70.45,eod,4.7,-2.8,0.79
2020-02-26,long,2020-02-26 09:15:00,2020-02-26 15:25:00,11738.55,11678.5,,,-70.05,eod,3.5,-0.5,1.03
2020-02-28,long,2020-02-28 09:15:00,2020-02-28 15:25:00,11382.0,11201.75,,,-190.25,eod,4.4,-2.16,1.03
2020-03-06,long,2020-03-06 09:15:00,2020-03-06 15:25:00,10942.65,10989.45,,,36.8,eod,4.1,-2.9,1.12
2020-03-09,long,2020-03-09 09:15:00,2020-03-09 15:25:00,10742.05,10451.45,,,-300.6,eod,6.0,-2.25,1.2
2020-03-11,long,2020-03-11 09:15:00,2020-03-11 15:25:00,10334.3,10458.4,,,114.1,eod,10.2,-1.12,1.55
2020-03-12,long,2020-03-12 09:15:00,2020-03-12 15:25:00,10039.95,9590.15,,,-459.8,eod,9.9,-4.0,1.56
2020-03-13,long,2020-03-13 09:15:00,2020-03-13 15:25:00,9107.6,9955.2,,,837.6,eod,18.1,-5.03,2.28
2020-05-14,long,2020-05-14 09:15:00,2020-05-14 15:25:00,9213.95,9142.75,,,-81.2,eod,4.0,-1.81,2.12
2020-06-12,long,2020-06-12 09:15:00,2020-06-12 15:25:00,9544.95,9972.9,,,417.95,eod,7.8,-3.61,1.69
2020-09-24,long,2020-09-24 09:15:00,2020-09-24 15:25:00,11011.0,10805.55,,,-215.45,eod,4.8,-1.09,0.99
2021-01-28,long,2021-01-28 09:15:00,2021-01-28 15:25:00,13810.4,13817.55,,,-2.85,eod,5.9,-1.12,0.96
2021-03-19,long,2021-03-19 09:15:00,2021-03-19 15:25:00,14471.15,14744.0,,,262.85,eod,4.0,-0.6,1.43
2021-05-03,long,2021-05-03 09:15:00,2021-05-03 15:25:00,14481.05,14634.15,,,143.1,eod,3.9,-1.03,1.31
2021-11-23,long,2021-11-23 09:15:00,2021-11-23 15:25:00,17281.75,17503.35,,,211.6,eod,4.3,-0.77,0.9
2022-01-21,long,2022-01-21 09:15:00,2022-01-21 15:25:00,17613.7,17617.15,,,-6.55,eod,4.2,-0.81,0.78
2022-01-25,long,2022-01-25 09:15:00,2022-01-25 15:25:00,17001.55,17277.95,,,266.4,eod,5.5,-0.86,1.01
2022-01-27,long,2022-01-27 09:15:00,2022-01-27 15:25:00,17062.0,17110.15,,,38.15,eod,3.8,-1.25,1.01
2022-02-22,long,2022-02-22 09:15:00,2022-02-22 15:25:00,16847.95,17092.2,,,234.25,eod,3.5,-2.08,1.46
2022-02-24,long,2022-02-24 09:15:00,2022-02-24 15:25:00,16548.9,16247.95,,,-310.95,eod,4.8,-3.01,1.33
2022-02-28,long,2022-02-28 09:15:00,2022-02-28 15:25:00,16481.6,16793.9,,,302.3,eod,4.5,-1.06,1.8
2022-03-07,long,2022-03-07 09:15:00,2022-03-07 15:25:00,15867.95,15863.15,,,-14.8,eod,5.7,-2.32,1.73
2022-03-08,long,2022-03-08 09:15:00,2022-03-08 15:25:00,15747.75,16013.45,,,255.7,eod,6.5,-0.73,1.79
2022-05-06,long,2022-05-06 09:15:00,2022-05-06 15:25:00,16415.55,16411.25,,,-14.3,eod,4.4,-1.6,1.08
2022-05-09,long,2022-05-09 09:15:00,2022-05-09 15:25:00,16227.7,16301.85,,,64.15,eod,5.6,-1.12,1.12
2022-05-10,long,2022-05-10 09:15:00,2022-05-10 15:25:00,16248.9,16240.05,,,-18.85,eod,4.3,-0.32,1.11
2022-06-13,long,2022-06-13 09:15:00,2022-06-13 15:25:00,15877.55,15774.4,,,-113.15,eod,4.0,-2.0,1.33
2022-06-14,long,2022-06-14 09:15:00,2022-06-14 15:25:00,15674.25,15732.1,,,47.85,eod,5.2,-0.63,1.47
