date,side,reversal,entry_dt,entry,sl,target,exit_dt,exit,exit_reason,bars_held,entry_wait_min,exit_wait_min,mae,mfe,pnl
2015-04-16,long,maru_gap,2015-04-16T09:15:00+05:30,8757.05,8707.05,,2015-04-16T15:25:00+05:30,8707.05,SL,1,0,375,-111.4,2.95,-50.0
2015-07-06,long,maru_gap,2015-07-06T09:15:00+05:30,8386.15,8336.15,,2015-07-06T15:25:00+05:30,8522.15,EOD,1,0,375,0.0,147.0,136.0
2015-10-28,long,maru_gap,2015-10-28T09:15:00+05:30,8188.9,8138.9,,2015-10-28T15:25:00+05:30,8138.9,SL,1,0,375,-57.1,20.2,-50.0
2016-05-11,long,maru_gap,2016-05-11T09:15:00+05:30,7804.65,7754.65,,2016-05-11T15:25:00+05:30,7848.85,EOD,1,0,375,-23.75,88.45,44.2
2017-05-18,long,maru_gap,2017-05-18T09:15:00+05:30,9453.2,9403.2,,2017-05-18T15:25:00+05:30,9429.45,EOD,1,0,375,-35.1,35.9,-23.75
2017-07-18,long,maru_gap,2017-07-18T09:15:00+05:30,9832.7,9782.7,,2017-07-18T15:25:00+05:30,9827.15,EOD,1,0,375,-40.65,52.65,-5.55
2017-09-06,long,maru_gap,2017-09-06T09:15:00+05:30,9899.25,9849.25,,2017-09-06T15:25:00+05:30,9916.2,EOD,1,0,375,-16.7,32.3,16.95
2017-10-18,long,maru_gap,2017-10-18T09:15:00+05:30,10209.4,10159.4,,2017-10-18T15:25:00+05:30,10210.85,EOD,1,0,375,-33.65,27.05,1.45
2017-11-27,long,maru_gap,2017-11-27T09:15:00+05:30,10361.05,10311.05,,2017-11-27T15:25:00+05:30,10399.55,EOD,1,0,375,-20.85,46.1,38.5
2018-01-02,long,maru_gap,2018-01-02T09:15:00+05:30,10477.55,10427.55,,2018-01-02T15:25:00+05:30,10427.55,SL,1,0,375,-72.9,17.65,-50.0
2018-12-10,long,maru_gap,2018-12-10T09:15:00+05:30,10508.7,10458.7,,2018-12-10T15:25:00+05:30,10488.45,EOD,1,0,375,-33.75,50.15,-20.25
2018-12-20,long,maru_gap,2018-12-20T09:15:00+05:30,10885.2,10835.2,,2018-12-20T15:25:00+05:30,10951.7,EOD,1,0,375,-5.15,77.35,66.5
2019-02-26,long,maru_gap,2019-02-26T09:15:00+05:30,10775.3,10725.3,,2019-02-26T15:25:00+05:30,10835.3,EOD,1,0,375,-46.0,113.45,60.0
2021-05-11,long,maru_gap,2021-05-11T09:15:00+05:30,14789.7,14739.7,,2021-05-11T15:25:00+05:30,14850.75,EOD,1,0,375,-18.3,110.3,61.05
2021-11-26,long,maru_gap,2021-11-26T09:15:00+05:30,17338.75,17288.75,,2021-11-26T15:25:00+05:30,17288.75,SL,1,0,375,-353.05,16.65,-50.0
2022-09-14,long,maru_gap,2022-09-14T09:15:00+05:30,17771.15,17721.15,,2022-09-14T15:25:00+05:30,18003.75,EOD,1,0,375,0.0,320.4,232.6
2022-10-10,long,maru_gap,2022-10-10T09:15:00+05:30,17094.35,17044.35,,2022-10-10T15:25:00+05:30,17241.0,EOD,1,0,375,-29.65,185.8,146.65
2023-10-09,long,maru_gap,2023-10-09T09:15:00+05:30,19539.45,19489.45,,2023-10-09T15:25:00+05:30,19489.45,SL,1,0,375,-58.95,49.5,-50.0
2025-04-03,long,maru_gap,2025-04-03T09:15:00+05:30,23150.3,23100.3,,2025-04-03T15:25:00+05:30,23250.1,EOD,1,0,375,-4.5,156.2,99.8
2025-12-15,long,maru_gap,2025-12-15T09:15:00+05:30,25930.05,25880.05,,2025-12-15T15:25:00+05:30,26027.3,EOD,1,0,375,-25.3,117.1,97.25
2026-04-13,long,maru_gap,2026-04-13T09:15:00+05:30,23589.6,23539.6,,2026-04-13T15:25:00+05:30,23842.65,EOD,1,0,375,-34.0,317.8,253.05
2026-06-19,long,maru_gap,2026-06-19T09:15:00+05:30,23991.2,23941.2,,2026-06-19T15:25:00+05:30,23941.2,SL,1,0,375,-89.3,56.0,-50.0
