date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,hold
2015-11-10,short,2015-11-10 09:15:00,2015-11-13 15:25:00,7877.6,7762.25,8078.57,,105.35,cover,1
2015-11-17,short,2015-11-17 09:15:00,2015-11-18 15:25:00,7848.75,7731.8,8042.29,,106.95,cover,1
2015-11-20,short,2015-11-20 09:15:00,2015-11-23 15:25:00,7841.9,7849.25,8040.51,,-17.35,cover,1
2015-12-15,short,2015-12-15 09:15:00,2015-12-16 15:25:00,7659.15,7750.9,7834.91,,-101.75,cover,1
2015-12-18,short,2015-12-18 09:15:00,2015-12-21 15:25:00,7828.9,7834.45,8007.25,,-15.55,cover,1
2015-12-22,short,2015-12-22 09:15:00,2015-12-23 15:25:00,7829.4,7865.95,8007.34,,-46.55,cover,1
2015-12-29,short,2015-12-29 09:15:00,2015-12-30 15:25:00,7929.2,7896.25,8093.54,,22.95,cover,1
2016-01-15,short,2016-01-15 09:15:00,2016-01-18 15:25:00,7561.65,7351.0,7769.52,,200.65,cover,1
2016-01-20,short,2016-01-20 09:15:00,2016-01-21 15:25:00,7357.0,7276.8,7586.71,,70.2,cover,1
2016-01-25,short,2016-01-25 09:15:00,2016-01-27 15:25:00,7468.75,7437.75,7701.18,,21.0,cover,1
2016-02-01,short,2016-02-01 09:15:00,2016-02-02 15:25:00,7589.5,7455.55,7807.64,,123.95,cover,1
2016-02-08,short,2016-02-08 09:15:00,2016-02-09 15:25:00,7489.7,7298.2,7714.3,,181.5,cover,1
2016-02-16,short,2016-02-16 09:15:00,2016-02-17 15:25:00,7201.25,7108.45,7469.38,,82.8,cover,1
2016-02-18,short,2016-02-18 09:15:00,2016-02-19 15:25:00,7177.4,7210.75,7445.46,,-43.35,cover,1
2016-03-02,short,2016-03-02 09:15:00,2016-03-03 15:25:00,7321.7,7475.6,7599.53,,-163.9,cover,1
2016-10-19,short,2016-10-19 09:15:00,2016-10-20 15:25:00,8697.5,8699.4,8883.9,,-11.9,cover,1
2016-11-10,short,2016-11-10 09:15:00,2016-11-11 15:25:00,8555.6,8296.3,8797.84,,249.3,cover,1
2016-11-28,short,2016-11-28 09:15:00,2016-11-29 15:25:00,8080.65,8142.15,8323.25,,-71.5,cover,1
2016-12-01,short,2016-12-01 09:15:00,2016-12-02 15:25:00,8244.0,8086.8,8468.91,,147.2,cover,1
2016-12-09,short,2016-12-09 09:15:00,2016-12-12 15:25:00,8271.7,8170.8,8481.82,,90.9,cover,1
2016-12-28,short,2016-12-28 09:15:00,2016-12-29 15:25:00,8047.55,8103.6,8229.73,,-66.05,cover,1
2016-12-30,short,2016-12-30 09:15:00,2017-01-02 15:25:00,8119.65,8179.5,8302.06,,-69.85,cover,1
2017-12-08,short,2017-12-08 09:15:00,2017-12-11 15:25:00,10198.45,10322.25,10381.15,,-133.8,cover,1
2018-02-07,short,2018-02-07 09:15:00,2018-02-08 15:25:00,10607.2,10576.85,10887.95,,20.35,cover,1
2018-02-26,short,2018-02-26 09:15:00,2018-02-27 15:25:00,10526.55,10554.3,10781.4,,-37.75,cover,1
2018-03-13,short,2018-03-13 09:15:00,2018-03-14 15:25:00,10389.5,10410.9,10644.3,,-31.4,cover,1
2018-03-21,short,2018-03-21 09:15:00,2018-03-22 15:25:00,10181.95,10114.75,10429.86,,57.2,cover,1
2018-03-27,short,2018-03-27 09:15:00,2018-03-28 15:25:00,10188.0,10113.7,10439.66,,64.3,cover,1
2018-04-06,short,2018-04-06 09:15:00,2018-04-09 15:25:00,10322.75,10379.35,10569.88,,-66.6,cover,1
2018-09-26,short,2018-09-26 09:15:00,2018-09-27 15:25:00,11145.55,10977.55,11453.62,,158.0,cover,1
2018-10-03,short,2018-10-03 09:15:00,2018-10-04 15:25:00,10982.7,10599.25,11301.86,,373.45,cover,1
2018-10-11,short,2018-10-11 09:15:00,2018-10-12 15:25:00,10169.8,10472.5,10548.31,,-312.7,cover,1
2018-10-15,short,2018-10-15 09:15:00,2018-10-16 15:25:00,10524.2,10584.75,10901.36,,-70.55,cover,1
2018-10-30,short,2018-10-30 09:15:00,2018-10-31 15:25:00,10239.4,10386.6,10594.7,,-157.2,cover,1
2018-11-01,short,2018-11-01 09:15:00,2018-11-02 15:25:00,10441.7,10553.0,10800.93,,-121.3,cover,1
2018-11-05,short,2018-11-05 09:15:00,2018-11-06 15:25:00,10558.75,10530.0,10910.22,,18.75,cover,1
2018-11-14,short,2018-11-14 09:15:00,2018-11-15 15:25:00,10634.9,10616.7,10948.66,,8.2,cover,1
2019-02-21,short,2019-02-21 09:15:00,2019-02-22 15:25:00,10744.1,10791.65,10984.52,,-57.55,cover,1
2019-05-15,short,2019-05-15 09:15:00,2019-05-16 15:25:00,11271.7,11257.1,11528.35,,4.6,cover,1
2019-05-17,short,2019-05-17 09:15:00,2019-05-20 15:25:00,11261.9,11651.9,11525.68,,-400.0,sl,1
2019-08-01,short,2019-08-01 09:15:00,2019-08-02 15:25:00,11060.2,10997.35,11337.64,,52.85,cover,1
2019-08-05,short,2019-08-05 09:15:00,2019-08-06 15:25:00,10895.8,10948.25,11196.37,,-62.45,cover,1
2019-08-07,short,2019-08-07 09:15:00,2019-08-08 15:25:00,10958.1,11032.45,11264.39,,-84.35,cover,1
2019-08-09,short,2019-08-09 09:15:00,2019-08-13 15:25:00,11087.9,10925.85,11401.82,,152.05,cover,1
2019-08-26,short,2019-08-26 09:15:00,2019-08-27 15:25:00,11000.3,11105.35,11341.3,,-115.05,cover,1
2019-09-11,short,2019-09-11 09:15:00,2019-09-12 15:25:00,11028.5,10982.8,11322.72,,35.7,cover,1
2019-09-16,short,2019-09-16 09:15:00,2019-09-17 15:25:00,10994.85,10817.6,11278.59,,167.25,cover,1
2020-01-09,short,2020-01-09 09:15:00,2020-01-10 15:25:00,12153.15,12256.8,12390.32,,-113.65,cover,1
2020-02-04,short,2020-02-04 09:15:00,2020-02-05 15:25:00,11786.25,12077.38,12077.38,,-301.13,sl,1
2020-02-06,short,2020-02-06 09:15:00,2020-02-07 15:25:00,12120.0,12098.35,12401.09,,11.65,cover,1
2020-03-04,short,2020-03-04 09:15:00,2020-03-05 15:25:00,11351.35,11269.0,11725.35,,72.35,cover,1
