date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,hold
2020-03-12,short,2020-03-12 09:15:00,2020-03-13 15:25:00,10039.95,9955.2,10613.43,,74.75,cover,1
2020-03-16,short,2020-03-16 09:15:00,2020-03-17 15:25:00,9587.8,8967.05,10407.96,,610.75,cover,1
2020-03-20,short,2020-03-20 09:15:00,2020-03-23 15:25:00,8284.45,7610.25,9238.03,,664.2,cover,1
2020-03-26,short,2020-03-26 09:15:00,2020-03-27 15:25:00,8451.0,8660.25,9508.89,,-219.25,cover,1
2020-04-01,short,2020-04-01 09:15:00,2020-04-03 15:25:00,8584.1,8083.8,9590.64,,490.3,cover,1
2020-04-08,short,2020-04-08 09:15:00,2020-04-09 15:25:00,8688.9,9111.9,9697.68,,-433.0,cover,1
2020-04-13,short,2020-04-13 09:15:00,2020-04-15 15:25:00,9103.95,8925.3,10052.64,,168.65,cover,1
2020-04-17,short,2020-04-17 09:15:00,2020-04-20 15:25:00,9323.45,9261.85,10208.78,,51.6,cover,1
2020-04-23,short,2020-04-23 09:15:00,2020-04-24 15:25:00,9232.35,9154.4,10012.01,,67.95,cover,1
2020-04-30,short,2020-04-30 09:15:00,2020-05-04 15:25:00,9753.5,9293.5,10430.34,,450.0,cover,1
2020-05-21,short,2020-05-21 09:15:00,2020-05-22 15:25:00,9079.45,9039.25,9623.75,,30.2,cover,1
2020-09-28,short,2020-09-28 09:15:00,2020-09-29 15:25:00,11140.85,11222.4,11507.47,,-91.55,cover,1
2021-03-22,short,2021-03-22 09:15:00,2021-03-23 15:25:00,14736.3,14814.75,15275.8,,-88.45,cover,1
2021-04-15,short,2021-04-15 09:15:00,2021-04-16 15:25:00,14522.4,14617.85,15060.62,,-105.45,cover,1
2021-04-23,short,2021-04-23 09:15:00,2021-04-26 15:25:00,14326.35,14485.0,14863.89,,-168.65,cover,1
2021-04-28,short,2021-04-28 09:15:00,2021-04-29 15:25:00,14710.5,14894.9,15225.63,,-194.4,cover,1
2021-05-04,short,2021-05-04 09:15:00,2021-05-05 15:25:00,14687.25,14617.85,15204.23,,59.4,cover,1
2021-11-24,short,2021-11-24 09:15:00,2021-11-25 15:25:00,17550.05,17536.25,18025.09,,3.8,cover,1
2021-11-26,short,2021-11-26 09:15:00,2021-11-29 15:25:00,17338.75,17053.95,17855.21,,274.8,cover,1
2021-12-03,short,2021-12-03 09:15:00,2021-12-06 15:25:00,17424.9,16912.25,17975.01,,502.65,cover,1
2021-12-08,short,2021-12-08 09:15:00,2021-12-09 15:25:00,17315.25,17516.85,17884.75,,-211.6,cover,1
2021-12-28,short,2021-12-28 09:15:00,2021-12-29 15:25:00,17177.6,17213.6,17694.35,,-46.0,cover,1
2022-01-03,short,2022-01-03 09:15:00,2022-01-04 15:25:00,17387.15,17805.25,17866.25,,-428.1,cover,1
2022-01-27,short,2022-01-27 09:15:00,2022-01-28 15:25:00,17062.0,17101.95,17610.53,,-49.95,cover,1
2022-02-16,short,2022-02-16 09:15:00,2022-02-17 15:25:00,17408.45,17304.6,18019.27,,93.85,cover,1
2022-02-23,short,2022-02-23 09:15:00,2022-02-24 15:25:00,17194.5,16247.95,17766.88,,936.55,cover,1
2022-02-28,short,2022-02-28 09:15:00,2022-03-02 15:25:00,16481.6,16605.95,17177.91,,-134.35,cover,1
2022-03-09,short,2022-03-09 09:15:00,2022-03-10 15:25:00,16078.0,16594.9,16806.06,,-526.9,cover,1
2022-03-14,short,2022-03-14 09:15:00,2022-03-15 15:25:00,16633.7,16663.0,17337.22,,-39.3,cover,1
2022-05-04,short,2022-05-04 09:15:00,2022-05-05 15:25:00,17096.6,16682.65,17668.11,,403.95,cover,1
2022-05-18,short,2022-05-18 09:15:00,2022-05-19 15:25:00,16318.15,15809.4,16913.03,,498.75,cover,1
2022-05-23,short,2022-05-23 09:15:00,2022-05-24 15:25:00,16290.95,16125.15,16920.08,,155.8,cover,1
2022-05-31,short,2022-05-31 09:15:00,2022-06-01 15:25:00,16578.45,16522.75,17151.62,,45.7,cover,1
2022-06-03,short,2022-06-03 09:15:00,2022-06-06 15:25:00,16761.65,16569.55,17305.73,,182.1,cover,1
2022-06-10,short,2022-06-10 09:15:00,2022-06-13 15:25:00,16283.95,15774.4,16806.56,,499.55,cover,1
2022-06-22,short,2022-06-22 09:15:00,2022-06-23 15:25:00,15545.65,15556.65,16095.04,,-21.0,cover,1
2022-06-24,short,2022-06-24 09:15:00,2022-06-27 15:25:00,15657.4,15832.05,16193.24,,-184.65,cover,1
2022-06-30,short,2022-06-30 09:15:00,2022-07-01 15:25:00,15774.5,15752.05,16267.47,,12.45,cover,1
2022-07-05,short,2022-07-05 09:15:00,2022-07-06 15:25:00,15909.15,15989.8,16398.3,,-90.65,cover,1
2022-07-07,short,2022-07-07 09:15:00,2022-07-08 15:25:00,16113.75,16220.6,16586.39,,-116.85,cover,1
2022-10-03,short,2022-10-03 09:15:00,2022-10-04 15:25:00,17102.1,17274.3,17608.15,,-182.2,cover,1
2022-10-06,short,2022-10-06 09:15:00,2022-10-07 15:25:00,17379.25,17314.65,17890.71,,54.6,cover,1
2022-10-11,short,2022-10-11 09:15:00,2022-10-12 15:25:00,17256.05,17123.6,17758.05,,122.45,cover,1
2022-10-18,short,2022-10-18 09:15:00,2022-10-19 15:25:00,17438.75,17512.25,17926.26,,-83.5,cover,1
2022-12-27,short,2022-12-27 09:15:00,2022-12-28 15:25:00,18089.8,18122.5,18498.15,,-42.7,cover,1
2022-12-30,short,2022-12-30 09:15:00,2023-01-02 15:25:00,18259.1,18197.45,18656.8,,51.65,cover,1
2023-01-10,short,2023-01-10 09:15:00,2023-01-11 15:25:00,18121.3,17895.7,18536.78,,215.6,cover,1
2023-01-18,short,2023-01-18 09:15:00,2023-01-19 15:25:00,18074.3,18107.85,18471.25,,-43.55,cover,1
2023-01-31,short,2023-01-31 09:15:00,2023-02-01 15:25:00,17731.45,17616.3,18146.45,,105.15,cover,1
2023-02-06,short,2023-02-06 09:15:00,2023-02-07 15:25:00,17818.55,17721.5,18283.68,,87.05,cover,1
2023-02-09,short,2023-02-09 09:15:00,2023-02-10 15:25:00,17885.5,17856.5,18320.53,,19.0,cover,1
2023-02-16,short,2023-02-16 09:15:00,2023-02-17 15:25:00,18094.75,17944.2,18489.0,,140.55,cover,1
2023-03-06,short,2023-03-06 09:15:00,2023-03-08 15:25:00,17680.35,17754.4,18072.4,,-84.05,cover,1
2023-03-31,short,2023-03-31 09:15:00,2023-04-03 15:25:00,17210.35,17398.05,17617.78,,-197.7,cover,1
2023-10-30,short,2023-10-30 09:15:00,2023-10-31 15:25:00,19053.4,19079.6,19417.54,,-36.2,cover,1
2024-04-22,short,2024-04-22 09:15:00,2024-04-23 15:25:00,22336.9,22368.0,22813.19,,-41.1,cover,1
2024-10-09,short,2024-10-09 09:15:00,2024-10-10 15:25:00,25065.8,24998.45,25616.38,,57.35,cover,1
2024-10-21,short,2024-10-21 09:15:00,2024-10-22 15:25:00,24956.15,24472.1,25467.62,,474.05,cover,1
2024-11-06,short,2024-11-06 09:15:00,2024-11-07 15:25:00,24308.75,24199.35,24882.2,,99.4,cover,1
2024-11-25,short,2024-11-25 09:15:00,2024-11-26 15:25:00,24253.55,24194.5,24898.37,,49.05,cover,1
2024-12-02,short,2024-12-02 09:15:00,2024-12-03 15:25:00,24140.85,24457.15,24769.48,,-326.3,cover,1
2025-02-01,short,2025-02-01 09:15:00,2025-02-03 15:25:00,23528.6,23361.05,24061.39,,157.55,cover,1
2025-02-05,short,2025-02-05 09:15:00,2025-02-06 15:25:00,23801.75,23603.35,24331.79,,188.4,cover,1
2025-02-18,short,2025-02-18 09:15:00,2025-02-19 15:25:00,22963.65,22932.9,23506.22,,20.75,cover,1
2025-03-06,short,2025-03-06 09:15:00,2025-03-07 15:25:00,22476.35,22552.5,22984.19,,-86.15,cover,1
2025-03-12,short,2025-03-12 09:15:00,2025-03-13 15:25:00,22536.35,22397.2,23026.68,,129.15,cover,1
2025-03-18,short,2025-03-18 09:15:00,2025-03-19 15:25:00,22662.25,22907.6,23156.65,,-255.35,cover,1
2025-04-08,short,2025-04-08 09:15:00,2025-04-09 15:25:00,22446.75,22399.15,23131.91,,37.6,cover,1
2025-07-30,short,2025-07-30 09:15:00,2025-07-31 15:25:00,24890.4,24768.35,25289.54,,112.05,cover,1
2025-08-12,short,2025-08-12 09:15:00,2025-08-13 15:25:00,24563.35,24619.35,24992.1,,-66.0,cover,1
2025-09-02,short,2025-09-02 09:15:00,2025-09-03 15:25:00,24653.0,24715.05,25063.21,,-72.05,cover,1
2025-10-03,short,2025-10-03 09:15:00,2025-10-06 15:25:00,24759.55,25077.65,25120.05,,-328.1,cover,1
2026-02-03,short,2026-02-03 09:15:00,2026-02-04 15:25:00,26308.05,25776.0,26991.91,,522.05,cover,1
2026-02-17,short,2026-02-17 09:15:00,2026-02-18 15:25:00,25637.95,25819.35,26199.2,,-191.4,cover,1
2026-02-23,short,2026-02-23 09:15:00,2026-02-24 15:25:00,25678.4,25424.65,26244.0,,243.75,cover,1
2026-03-04,short,2026-03-04 09:15:00,2026-03-05 15:25:00,24388.8,24765.9,25033.37,,-387.1,cover,1
2026-03-06,short,2026-03-06 09:15:00,2026-03-09 15:25:00,24656.4,24028.05,25311.77,,618.35,cover,1
2026-03-10,short,2026-03-10 09:15:00,2026-03-11 15:25:00,24280.8,23866.85,24985.13,,403.95,cover,1
2026-03-17,short,2026-03-17 09:15:00,2026-03-18 15:25:00,23493.2,23777.8,24246.09,,-294.6,cover,1
2026-03-19,short,2026-03-19 09:15:00,2026-03-20 15:25:00,23197.75,23114.5,24005.28,,73.25,cover,1
2026-03-27,short,2026-03-27 09:15:00,2026-03-30 15:25:00,23173.55,22331.4,24053.18,,832.15,cover,1
2026-04-06,short,2026-04-06 09:15:00,2026-04-07 15:25:00,22780.3,23123.65,23715.3,,-353.35,cover,1
2026-04-08,short,2026-04-08 09:15:00,2026-04-09 15:25:00,23855.15,23775.1,24847.78,,70.05,cover,1
2026-04-13,short,2026-04-13 09:15:00,2026-04-15 15:25:00,23589.6,24231.3,24533.47,,-651.7,cover,1
2026-04-20,short,2026-04-20 09:15:00,2026-04-21 15:25:00,24391.5,24576.6,25250.88,,-195.1,cover,1
2026-04-28,short,2026-04-28 09:15:00,2026-04-29 15:25:00,24049.9,24177.65,24788.04,,-137.75,cover,1
2026-05-15,short,2026-05-15 09:15:00,2026-05-18 15:25:00,23731.4,23649.95,24404.71,,71.45,cover,1
2026-05-19,short,2026-05-19 09:15:00,2026-05-20 15:25:00,23675.3,23659.0,24333.94,,6.3,cover,1
2026-05-21,short,2026-05-21 09:15:00,2026-05-22 15:25:00,23830.05,23719.3,24474.52,,100.75,cover,1
2026-06-03,short,2026-06-03 09:15:00,2026-06-04 15:25:00,23415.95,23416.55,24048.14,,-10.6,cover,1
2026-06-15,short,2026-06-15 09:15:00,2026-06-16 15:25:00,23984.85,23989.15,24600.72,,-14.3,cover,1
